job_title,routine_task_pct,creativity_score,social_skill_score,education_level,annual_salary_usd,ai_tool_exposure,years_experience,industry,risk_level
Lawyer,0.404,0.828,0.823,4,150632,0.541,0,10,0
HR Manager,0.436,0.638,0.83,4,68710,0.534,4,9,1
Graphic Designer,0.332,0.907,0.524,2,49392,0.702,11,7,1
Marketing Manager,0.263,0.817,0.808,4,103974,0.465,11,7,0
Telemarketer,0.815,0.109,0.473,1,33945,0.955,10,1,2
Telemarketer,0.842,0.17,0.347,1,29487,0.84,3,1,2
Security Guard,0.885,0.172,0.329,1,26202,0.673,12,12,2
Marketing Manager,0.375,0.769,0.756,4,93340,0.568,7,7,0
Marketing Manager,0.261,0.846,0.837,3,75925,0.475,14,7,0
Security Guard,0.808,0.137,0.251,1,30642,0.621,16,12,2
Research Scientist,0.249,0.83,0.523,4,121485,0.374,6,5,0
Data Entry Clerk,0.974,0.167,0.119,1,39865,1.0,7,0,2
Pharmacist,0.462,0.494,0.701,4,140228,0.477,11,4,1
Software Engineer,0.29,0.866,0.571,4,130878,0.604,16,5,0
Financial Analyst,0.514,0.586,0.542,4,93820,0.633,6,2,1
Marketing Manager,0.183,0.8,0.705,3,83694,0.54,8,7,0
Marketing Manager,0.223,0.755,0.781,4,87407,0.501,5,7,0
Social Worker,0.222,0.505,1.0,3,49238,0.118,8,8,0
Warehouse Worker,0.832,0.087,0.21,1,37638,0.939,9,3,2
Software Engineer,0.329,0.786,0.482,3,135631,0.607,5,5,1
Warehouse Worker,0.831,0.144,0.259,1,25639,0.862,8,3,2
Nurse,0.442,0.523,0.862,2,80015,0.313,6,4,1
Financial Analyst,0.643,0.504,0.472,2,98191,0.686,11,2,2
Radiologist,0.481,0.524,0.625,4,375216,0.738,15,4,1
Accountant,0.69,0.435,0.371,3,71340,0.803,7,2,2
Research Scientist,0.217,0.98,0.551,4,118557,0.408,6,5,0
HR Manager,0.475,0.533,0.845,2,83881,0.512,4,9,1
Software Engineer,0.179,0.818,0.541,3,124373,0.589,12,5,0
Lawyer,0.402,0.734,0.79,5,132282,0.487,15,10,0
Cook / Chef,0.626,0.679,0.377,1,39274,0.444,4,11,1
Nurse,0.332,0.389,0.927,2,78007,0.342,10,4,0
Security Guard,0.738,0.17,0.38,1,29607,0.71,10,12,2
Social Worker,0.16,0.441,0.99,3,47989,0.069,8,8,0
Radiologist,0.469,0.489,0.567,3,263968,0.691,8,4,1
Accountant,0.628,0.373,0.435,2,80329,0.77,5,2,2
Teacher,0.358,0.722,0.989,3,60960,0.339,6,6,0
HR Manager,0.375,0.43,0.878,3,73839,0.553,1,9,1
Financial Analyst,0.637,0.573,0.491,3,110227,0.697,6,2,1
Graphic Designer,0.461,0.861,0.503,3,52750,0.632,5,7,1
Software Engineer,0.387,0.854,0.565,4,118133,0.655,7,5,1
Lawyer,0.306,0.684,0.891,4,117516,0.488,8,10,0
Security Guard,0.673,0.104,0.405,1,30815,0.615,4,12,2
Nurse,0.361,0.407,0.933,3,69830,0.233,4,4,0
Cook / Chef,0.55,0.686,0.458,1,26416,0.494,8,11,1
Software Engineer,0.203,0.672,0.569,3,128553,0.626,5,5,1
Radiologist,0.635,0.522,0.54,5,297369,0.743,7,4,1
Customer Service Rep,0.715,0.116,0.537,2,40349,0.885,7,1,2
HR Manager,0.391,0.658,0.833,3,86628,0.51,9,9,1
Nurse,0.329,0.466,0.948,3,76557,0.311,9,4,0
Accountant,0.626,0.378,0.451,3,73454,0.83,9,2,2
Nurse,0.358,0.505,0.806,3,83823,0.375,8,4,0
Nurse,0.359,0.445,0.909,3,72987,0.309,1,4,0
Social Worker,0.205,0.476,0.992,3,40807,0.158,12,8,0
Cook / Chef,0.596,0.661,0.398,1,38461,0.447,3,11,1
Cook / Chef,0.62,0.62,0.295,1,29527,0.398,2,11,1
Radiologist,0.573,0.406,0.547,4,341909,0.753,10,4,1
Accountant,0.664,0.436,0.417,2,75317,0.802,7,2,2
Research Scientist,0.262,0.986,0.536,5,131242,0.403,2,5,0
Social Worker,0.106,0.466,0.939,3,54334,0.1,4,8,0
Graphic Designer,0.449,0.92,0.676,2,45591,0.63,1,7,1
Truck Driver,0.61,0.112,0.147,1,41874,0.752,5,3,2
Marketing Manager,0.325,0.817,0.788,3,101849,0.496,8,7,0
Lawyer,0.446,0.751,0.724,5,149464,0.488,1,10,0
Lawyer,0.449,0.762,0.748,5,101171,0.492,3,10,0
Warehouse Worker,0.849,0.087,0.21,1,36599,0.851,2,3,2
Security Guard,0.813,0.126,0.315,1,29567,0.62,1,12,2
Data Entry Clerk,0.908,0.124,0.152,1,39683,0.95,10,0,2
Financial Analyst,0.67,0.572,0.402,3,97494,0.615,0,2,1
Nurse,0.244,0.349,0.997,3,80135,0.3,10,4,0
Telemarketer,0.83,0.0,0.315,1,25713,0.826,7,1,2
Teacher,0.217,0.729,0.888,4,49154,0.224,8,6,0
Cook / Chef,0.705,0.65,0.431,1,39450,0.355,15,11,1
Radiologist,0.439,0.582,0.695,4,245311,0.762,2,4,1
Software Engineer,0.253,0.748,0.652,4,110839,0.6,11,5,0
Telemarketer,0.917,0.07,0.511,1,32821,0.899,12,1,2
Pharmacist,0.669,0.513,0.658,5,133230,0.655,3,4,1
Financial Analyst,0.639,0.583,0.456,3,79540,0.709,7,2,1
Telemarketer,0.982,0.213,0.304,1,32079,0.866,3,1,2
Accountant,0.651,0.396,0.398,3,78104,0.78,5,2,2
Warehouse Worker,0.769,0.023,0.118,1,35966,0.866,5,3,2
Research Scientist,0.246,0.975,0.572,4,118306,0.342,6,5,0
Nurse,0.317,0.449,1.0,3,69246,0.284,11,4,0
Warehouse Worker,0.755,0.066,0.209,1,33408,0.833,7,3,2
Warehouse Worker,0.775,0.114,0.193,1,36114,0.936,3,3,2
Lawyer,0.334,0.726,0.746,4,150744,0.504,6,10,0
Customer Service Rep,0.77,0.208,0.607,1,37619,0.833,4,1,2
Customer Service Rep,0.832,0.228,0.523,2,41926,0.93,0,1,2
Accountant,0.688,0.271,0.355,3,58920,0.684,12,2,2
Security Guard,0.757,0.196,0.311,1,31055,0.7,5,12,2
Teacher,0.317,0.714,0.98,3,59131,0.277,5,6,0
Radiologist,0.495,0.523,0.755,5,319529,0.792,2,4,1
Customer Service Rep,0.827,0.292,0.618,2,33415,0.965,15,1,2
Marketing Manager,0.351,0.783,0.76,3,86893,0.43,16,7,0
Data Entry Clerk,0.926,0.151,0.143,1,30716,0.93,3,0,2
Social Worker,0.177,0.547,0.843,4,48831,0.185,11,8,0
Security Guard,0.815,0.105,0.308,1,30288,0.644,7,12,2
Social Worker,0.214,0.623,0.852,3,50163,0.207,9,8,0
Software Engineer,0.367,0.818,0.502,3,139389,0.572,7,5,1
Marketing Manager,0.287,0.758,0.815,3,99947,0.481,0,7,0
Accountant,0.709,0.315,0.349,2,59677,0.772,3,2,2
Telemarketer,0.859,0.005,0.446,1,27620,0.916,12,1,2
Lawyer,0.183,0.866,0.752,4,142792,0.636,9,10,0
Financial Analyst,0.697,0.665,0.532,3,109810,0.663,5,2,1
Social Worker,0.272,0.444,0.868,4,53659,0.213,11,8,0
Social Worker,0.324,0.444,1.0,3,52674,0.12,3,8,0
Cook / Chef,0.518,0.724,0.414,1,36828,0.422,13,11,1
Research Scientist,0.349,1.0,0.568,5,130355,0.32,11,5,0
Warehouse Worker,0.838,0.077,0.034,1,29003,0.868,4,3,2
Nurse,0.36,0.393,0.851,2,75359,0.179,9,4,0
Pharmacist,0.656,0.535,0.54,4,150859,0.555,20,4,1
Truck Driver,0.592,0.109,0.18,1,41436,0.806,9,3,2
Customer Service Rep,0.845,0.182,0.606,1,30053,0.868,5,1,2
Graphic Designer,0.4,0.874,0.54,2,55198,0.699,9,7,1
Telemarketer,0.921,0.164,0.347,1,30766,0.796,12,1,2
HR Manager,0.403,0.533,0.738,3,93512,0.499,4,9,1
Teacher,0.315,0.702,0.921,3,57023,0.28,13,6,0
Accountant,0.672,0.338,0.385,3,70563,0.735,13,2,2
HR Manager,0.504,0.488,0.763,4,78929,0.478,0,9,1
Teacher,0.328,0.603,0.97,3,46826,0.266,10,6,0
Cook / Chef,0.644,0.696,0.458,1,36980,0.363,15,11,1
Marketing Manager,0.339,0.766,0.871,4,98555,0.479,8,7,0
Software Engineer,0.194,0.735,0.453,3,144321,0.703,3,5,1
Data Entry Clerk,0.919,0.017,0.212,1,37149,0.895,4,0,2
Telemarketer,0.895,0.164,0.362,1,31177,0.914,4,1,2
Nurse,0.29,0.422,0.896,3,84878,0.351,16,4,0
Lawyer,0.368,0.883,0.749,4,117846,0.539,12,10,0
Security Guard,0.812,0.056,0.287,2,26670,0.697,12,12,2
Software Engineer,0.315,0.775,0.555,4,127598,0.605,16,5,1
Cook / Chef,0.477,0.497,0.469,1,31134,0.39,10,11,1
Radiologist,0.584,0.566,0.45,5,268823,0.685,10,4,1
Warehouse Worker,0.873,0.152,0.296,1,36932,0.842,10,3,2
Software Engineer,0.202,0.779,0.504,4,124522,0.548,4,5,0
Social Worker,0.178,0.575,0.887,4,55236,0.193,7,8,0
Customer Service Rep,0.835,0.047,0.579,2,38333,0.899,10,1,2
Research Scientist,0.166,0.897,0.548,4,132030,0.35,5,5,0
Pharmacist,0.597,0.444,0.606,4,115100,0.544,16,4,1
Customer Service Rep,0.837,0.094,0.675,2,29486,0.912,7,1,2
Cook / Chef,0.576,0.711,0.408,2,38158,0.426,7,11,1
Data Entry Clerk,0.95,0.137,0.155,1,33376,1.0,7,0,2
Teacher,0.248,0.795,0.935,4,53095,0.186,9,6,0
Warehouse Worker,0.905,0.045,0.158,1,42479,0.916,11,3,2
Marketing Manager,0.299,0.945,0.799,4,88910,0.518,6,7,0
Lawyer,0.392,0.78,0.841,4,149480,0.578,3,10,0
Software Engineer,0.276,0.685,0.578,4,125571,0.63,10,5,1
Cook / Chef,0.574,0.73,0.327,1,32187,0.452,3,11,1
Graphic Designer,0.381,0.919,0.526,3,62055,0.654,2,7,1
Security Guard,0.729,0.133,0.382,1,26692,0.802,4,12,2
Warehouse Worker,0.793,0.089,0.104,1,36573,0.885,0,3,2
Nurse,0.421,0.433,0.798,3,75519,0.261,13,4,0
Pharmacist,0.605,0.385,0.578,4,124353,0.572,8,4,1
Social Worker,0.164,0.528,0.895,3,51469,0.111,7,8,0
Accountant,0.619,0.374,0.431,2,79031,0.853,7,2,2
Nurse,0.34,0.531,0.827,3,80036,0.288,7,4,0
Cook / Chef,0.513,0.569,0.414,1,29984,0.342,16,11,1
Cook / Chef,0.498,0.67,0.432,1,29232,0.418,11,11,1
Marketing Manager,0.294,0.904,0.665,4,109651,0.482,7,7,0
Software Engineer,0.318,0.904,0.617,3,117859,0.674,4,5,1
Accountant,0.7,0.259,0.401,1,71109,0.731,9,2,2
Radiologist,0.436,0.468,0.574,4,294727,0.66,8,4,1
Cook / Chef,0.552,0.673,0.411,1,37090,0.372,5,11,1
Cook / Chef,0.504,0.596,0.407,1,28277,0.356,2,11,1
HR Manager,0.511,0.526,0.711,2,87834,0.531,8,9,1
Security Guard,0.724,0.059,0.294,1,32361,0.694,5,12,2
Warehouse Worker,0.74,0.176,0.176,1,40773,0.786,8,3,2
Marketing Manager,0.193,0.871,0.819,4,87700,0.387,10,7,0
Social Worker,0.198,0.486,0.948,4,53801,0.131,6,8,0
Social Worker,0.171,0.408,0.882,4,54363,0.168,1,8,0
Graphic Designer,0.357,0.892,0.32,3,58886,0.709,2,7,1
Marketing Manager,0.282,0.711,0.761,3,70309,0.439,5,7,0
HR Manager,0.453,0.603,0.76,4,60541,0.492,5,9,1
Teacher,0.223,0.638,0.999,4,58984,0.208,10,6,0
Lawyer,0.4,0.796,0.818,3,125819,0.617,3,10,1
HR Manager,0.512,0.496,0.762,3,77619,0.512,0,9,1
Warehouse Worker,0.801,0.045,0.133,1,39310,0.752,10,3,2
Cook / Chef,0.551,0.657,0.358,1,34310,0.427,3,11,1
Telemarketer,0.84,0.028,0.379,1,28992,0.912,7,1,2
Data Entry Clerk,0.883,0.158,0.192,1,33537,0.895,6,0,2
Truck Driver,0.736,0.156,0.201,1,48482,0.697,8,3,2
Marketing Manager,0.378,0.708,0.767,4,84988,0.555,5,7,0
Accountant,0.653,0.406,0.386,2,67690,0.721,16,2,2
Customer Service Rep,0.825,0.027,0.559,1,36843,0.859,10,1,2
Teacher,0.246,0.63,0.962,3,55740,0.266,14,6,0
Teacher,0.256,0.67,0.983,3,56862,0.27,5,6,0
Social Worker,0.253,0.471,1.0,3,61823,0.16,13,8,0
Software Engineer,0.268,0.732,0.603,4,127822,0.59,10,5,0
Truck Driver,0.769,0.111,0.216,1,46851,0.793,8,3,2
Graphic Designer,0.364,0.976,0.551,3,52315,0.641,1,7,1
Pharmacist,0.539,0.42,0.732,4,156177,0.497,1,4,1
Social Worker,0.279,0.495,0.917,4,56712,0.154,7,8,0
Telemarketer,0.879,0.086,0.442,1,31382,0.924,6,1,2
Graphic Designer,0.368,0.879,0.483,3,65362,0.684,11,7,1
Warehouse Worker,0.786,0.103,0.199,1,40577,0.831,0,3,2
Lawyer,0.351,0.879,0.793,4,137894,0.623,7,10,0
Marketing Manager,0.187,0.883,0.85,3,98981,0.509,5,7,0
Cook / Chef,0.622,0.712,0.389,1,30803,0.381,12,11,1
Security Guard,0.754,0.155,0.393,1,24503,0.689,6,12,2
Data Entry Clerk,0.854,0.215,0.192,1,39181,0.915,10,0,2
Security Guard,0.677,0.118,0.348,1,35387,0.679,10,12,2
Teacher,0.346,0.582,1.0,4,59853,0.224,10,6,0
Cook / Chef,0.523,0.664,0.486,1,32319,0.414,11,11,1
Graphic Designer,0.47,0.839,0.478,3,55630,0.704,6,7,1
Research Scientist,0.239,0.934,0.613,4,123090,0.396,6,5,0
Lawyer,0.328,0.699,0.72,5,142819,0.582,17,10,0
Accountant,0.761,0.409,0.463,3,76654,0.66,7,2,2
HR Manager,0.481,0.488,0.836,3,76348,0.497,11,9,1
Lawyer,0.353,0.847,0.819,4,105626,0.52,11,10,0
Graphic Designer,0.438,0.929,0.413,2,69924,0.625,19,7,1
HR Manager,0.378,0.572,0.737,3,87546,0.513,8,9,1
Nurse,0.353,0.446,0.818,2,84757,0.219,11,4,0
Nurse,0.357,0.481,0.893,2,66113,0.359,8,4,0
Pharmacist,0.554,0.53,0.643,4,121783,0.526,3,4,1
Radiologist,0.511,0.568,0.538,5,314604,0.728,11,4,1
Customer Service Rep,0.916,0.152,0.474,1,35134,0.843,5,1,2
Teacher,0.258,0.74,0.887,4,50201,0.268,8,6,0
Telemarketer,0.774,0.138,0.445,1,31040,0.926,1,1,2
Teacher,0.264,0.701,0.916,5,56269,0.207,8,6,0
Cook / Chef,0.539,0.671,0.49,1,23609,0.381,4,11,1
Cook / Chef,0.654,0.667,0.466,1,32556,0.491,9,11,1
Research Scientist,0.18,1.0,0.601,4,126245,0.386,2,5,0
Accountant,0.674,0.336,0.456,3,70016,0.748,5,2,2
Pharmacist,0.61,0.37,0.714,4,100211,0.521,5,4,1
Pharmacist,0.561,0.419,0.655,5,115355,0.636,8,4,1
Accountant,0.547,0.313,0.531,2,75268,0.753,7,2,2
Telemarketer,0.832,0.133,0.428,1,30840,0.909,7,1,2
Customer Service Rep,0.9,0.068,0.582,1,32581,0.878,3,1,2
Research Scientist,0.172,0.961,0.534,4,107710,0.39,8,5,0
Marketing Manager,0.309,0.794,0.721,2,75089,0.417,9,7,0
Cook / Chef,0.487,0.639,0.531,1,32899,0.46,5,11,1
Pharmacist,0.601,0.341,0.593,3,126246,0.543,8,4,1
Graphic Designer,0.245,0.85,0.508,3,53281,0.747,0,7,1
Cook / Chef,0.429,0.51,0.413,1,29529,0.46,7,11,1
Truck Driver,0.698,0.136,0.32,1,47613,0.757,3,3,2
Marketing Manager,0.346,0.722,0.805,3,81167,0.479,6,7,0
Financial Analyst,0.68,0.6,0.549,2,99222,0.743,2,2,2
Marketing Manager,0.301,0.738,0.741,4,88858,0.517,11,7,0
Telemarketer,0.937,0.16,0.363,1,25368,0.908,7,1,2
Software Engineer,0.368,0.742,0.441,4,98643,0.662,4,5,1
Graphic Designer,0.426,0.869,0.437,3,54430,0.626,8,7,1
Financial Analyst,0.758,0.508,0.448,4,76677,0.72,8,2,2
Research Scientist,0.198,0.915,0.503,4,90078,0.354,9,5,0
Radiologist,0.497,0.515,0.55,4,323425,0.764,9,4,1
Cook / Chef,0.445,0.574,0.397,1,30551,0.417,7,11,1
HR Manager,0.451,0.438,0.859,4,82632,0.44,8,9,1
Software Engineer,0.288,0.81,0.578,4,123351,0.591,8,5,0
Financial Analyst,0.587,0.644,0.375,4,91732,0.676,1,2,1
Software Engineer,0.262,0.756,0.463,3,133014,0.599,10,5,1
Telemarketer,0.98,0.077,0.457,1,30039,0.898,9,1,2
Truck Driver,0.691,0.203,0.247,1,39512,0.95,14,3,2
Customer Service Rep,0.863,0.135,0.677,1,35104,0.924,9,1,2
Security Guard,0.722,0.167,0.446,1,33346,0.687,0,12,2
Accountant,0.668,0.455,0.472,3,78600,0.654,4,2,1
Lawyer,0.331,0.784,0.876,5,121699,0.553,8,10,0
Teacher,0.351,0.47,1.0,3,53351,0.23,6,6,0
Telemarketer,0.952,0.096,0.367,1,32760,0.889,10,1,2
Data Entry Clerk,0.925,0.118,0.141,1,38118,0.942,4,0,2
Software Engineer,0.287,0.72,0.451,4,126535,0.622,11,5,1
Marketing Manager,0.271,0.712,0.746,4,99846,0.44,0,7,0
Truck Driver,0.778,0.087,0.235,1,44390,0.877,6,3,2
Marketing Manager,0.421,0.706,0.844,3,99094,0.449,4,7,0
Software Engineer,0.301,0.776,0.753,4,115087,0.547,0,5,0
Nurse,0.288,0.445,0.862,3,77897,0.248,10,4,0
Pharmacist,0.599,0.326,0.599,5,117982,0.592,4,4,1
Teacher,0.264,0.71,0.985,3,53386,0.266,3,6,0
Lawyer,0.451,0.804,0.889,4,121695,0.582,8,10,0
Lawyer,0.305,0.781,0.832,5,91739,0.5,11,10,0
Pharmacist,0.562,0.336,0.645,5,138303,0.71,11,4,1
Teacher,0.312,0.713,0.962,4,55411,0.306,8,6,0
Marketing Manager,0.308,0.765,0.69,3,93205,0.457,4,7,0
Financial Analyst,0.597,0.483,0.43,4,109335,0.626,7,2,1
Customer Service Rep,0.907,0.038,0.691,2,32511,0.881,6,1,2
Marketing Manager,0.348,0.79,0.785,4,90850,0.489,12,7,0
Cook / Chef,0.503,0.576,0.368,1,31485,0.355,16,11,1
Social Worker,0.16,0.509,0.94,4,49919,0.279,2,8,0
HR Manager,0.376,0.545,0.735,3,77605,0.553,16,9,1
Graphic Designer,0.482,0.926,0.546,4,60256,0.647,4,7,1
HR Manager,0.375,0.48,0.791,4,86331,0.438,6,9,0
Graphic Designer,0.429,0.83,0.404,3,55113,0.627,3,7,1
Nurse,0.361,0.393,0.896,2,83135,0.25,7,4,0
Customer Service Rep,0.779,0.067,0.702,2,31836,0.903,11,1,2
Graphic Designer,0.362,0.93,0.471,1,56079,0.566,12,7,1
Social Worker,0.132,0.527,0.961,4,51562,0.052,12,8,0
Research Scientist,0.21,0.871,0.657,4,121030,0.441,8,5,0
Cook / Chef,0.655,0.587,0.466,1,35003,0.397,8,11,1
Pharmacist,0.627,0.469,0.578,5,125387,0.509,6,4,1
Telemarketer,0.98,0.074,0.395,1,34371,0.886,8,1,2
Telemarketer,0.919,0.086,0.389,1,35446,0.879,12,1,2
Cook / Chef,0.496,0.659,0.39,1,33556,0.439,3,11,1
Data Entry Clerk,0.962,0.073,0.181,1,36356,0.951,6,0,2
Telemarketer,0.883,0.156,0.484,1,30189,0.896,14,1,2
Security Guard,0.601,0.089,0.32,1,30267,0.707,6,12,2
Warehouse Worker,0.823,0.168,0.276,1,39614,0.796,10,3,2
Customer Service Rep,0.783,0.15,0.549,1,32989,0.896,7,1,2
Radiologist,0.503,0.468,0.532,5,293178,0.67,10,4,1
Telemarketer,0.931,0.12,0.462,1,35676,0.869,12,1,2
Financial Analyst,0.569,0.487,0.535,3,102702,0.646,15,2,1
Cook / Chef,0.557,0.685,0.419,1,32254,0.357,14,11,1
Financial Analyst,0.613,0.522,0.519,4,102995,0.747,8,2,1
HR Manager,0.508,0.608,0.749,4,70980,0.489,10,9,1
Truck Driver,0.764,0.087,0.168,1,50599,0.701,13,3,2
Lawyer,0.42,0.795,0.816,4,120907,0.53,9,10,0
Marketing Manager,0.365,0.796,0.911,3,88124,0.513,6,7,0
Truck Driver,0.725,0.223,0.191,1,48078,0.751,0,3,2
Marketing Manager,0.326,0.876,0.908,4,89667,0.476,0,7,0
Social Worker,0.228,0.494,0.943,3,39398,0.212,9,8,0
Security Guard,0.669,0.094,0.338,1,34249,0.647,9,12,2
Pharmacist,0.534,0.449,0.677,5,127663,0.673,4,4,1
Teacher,0.22,0.684,0.873,3,63292,0.284,2,6,0
Social Worker,0.199,0.441,0.86,4,53468,0.229,4,8,0
Accountant,0.692,0.305,0.35,2,84716,0.803,9,2,2
Truck Driver,0.703,0.138,0.124,1,42544,0.736,6,3,2
Accountant,0.66,0.273,0.352,2,73444,0.809,6,2,2
Telemarketer,0.895,0.002,0.268,1,32790,0.844,3,1,2
Pharmacist,0.634,0.522,0.7,5,126928,0.585,14,4,1
Truck Driver,0.748,0.25,0.181,1,43286,0.766,9,3,2
Radiologist,0.548,0.562,0.522,5,281755,0.725,10,4,1
Security Guard,0.687,0.152,0.427,2,31818,0.648,6,12,2
Lawyer,0.342,0.788,0.731,4,142394,0.607,7,10,0
Research Scientist,0.207,0.945,0.609,4,117242,0.38,4,5,0
Nurse,0.345,0.501,0.939,3,79304,0.312,7,4,0
Software Engineer,0.405,0.84,0.562,4,136978,0.556,7,5,1
Lawyer,0.323,0.83,0.713,5,151226,0.492,16,10,0
Data Entry Clerk,0.978,0.149,0.157,1,28968,0.962,7,0,2
Telemarketer,0.924,0.138,0.287,1,29961,0.91,7,1,2
Social Worker,0.188,0.429,0.807,4,43701,0.023,6,8,0
Teacher,0.264,0.766,1.0,3,67964,0.259,2,6,0
Research Scientist,0.191,0.952,0.615,4,105267,0.315,7,5,0
Marketing Manager,0.303,0.875,0.883,4,75681,0.581,8,7,0
Radiologist,0.586,0.472,0.631,5,320619,0.747,12,4,1
Financial Analyst,0.585,0.621,0.43,3,97139,0.731,6,2,1
Warehouse Worker,0.778,0.117,0.137,1,38801,0.813,7,3,2
Security Guard,0.738,0.104,0.333,1,25371,0.674,11,12,2
Financial Analyst,0.652,0.56,0.5,3,104313,0.608,3,2,1
Data Entry Clerk,1.0,0.112,0.156,1,35553,1.0,12,0,2
Cook / Chef,0.534,0.655,0.479,1,35294,0.467,9,11,1
Graphic Designer,0.361,0.942,0.531,2,54000,0.591,9,7,1
Lawyer,0.321,0.857,0.792,4,122902,0.483,13,10,0
Customer Service Rep,0.856,0.149,0.589,1,34759,0.918,5,1,2
HR Manager,0.425,0.456,0.753,4,72390,0.495,13,9,1
Software Engineer,0.268,0.735,0.606,4,114136,0.522,4,5,0
Data Entry Clerk,0.937,0.049,0.153,1,38702,0.954,0,0,2
Accountant,0.632,0.508,0.404,3,63355,0.714,3,2,2
Customer Service Rep,0.831,0.219,0.633,2,34961,0.914,11,1,2
Radiologist,0.485,0.43,0.584,5,272443,0.668,3,4,1
Radiologist,0.493,0.563,0.491,5,306437,0.662,10,4,1
Accountant,0.558,0.377,0.351,3,77893,0.725,8,2,2
Research Scientist,0.242,1.0,0.633,4,114729,0.386,9,5,0
Data Entry Clerk,0.869,0.051,0.131,1,38125,0.963,7,0,2
Customer Service Rep,0.632,0.198,0.63,2,28475,0.847,8,1,2
Marketing Manager,0.334,0.74,0.823,3,98864,0.525,8,7,0
Data Entry Clerk,0.934,0.027,0.094,1,34012,1.0,3,0,2
Cook / Chef,0.529,0.63,0.504,1,32978,0.385,12,11,1
Pharmacist,0.594,0.477,0.669,4,126640,0.582,8,4,1
Data Entry Clerk,0.869,0.138,0.137,1,39791,0.945,11,0,2
Customer Service Rep,0.841,0.189,0.582,2,32498,0.804,2,1,2
Truck Driver,0.635,0.171,0.197,1,40464,0.903,4,3,2
Lawyer,0.295,0.855,0.81,4,129098,0.572,9,10,0
Nurse,0.411,0.462,1.0,2,73111,0.263,7,4,0
Graphic Designer,0.363,0.916,0.546,3,46155,0.686,11,7,1
Data Entry Clerk,0.873,0.103,0.192,1,38750,0.965,5,0,2
Truck Driver,0.651,0.024,0.262,1,52045,0.815,0,3,2
Radiologist,0.452,0.601,0.674,4,373610,0.671,13,4,1
Marketing Manager,0.325,0.732,0.796,3,75950,0.465,7,7,0
Graphic Designer,0.393,0.919,0.49,2,59802,0.699,9,7,1
Financial Analyst,0.546,0.584,0.59,4,103768,0.674,1,2,1
Customer Service Rep,0.909,0.155,0.554,2,38607,0.903,1,1,2
Research Scientist,0.243,0.948,0.559,4,117682,0.473,5,5,0
Data Entry Clerk,0.924,0.094,0.091,1,27882,0.934,11,0,2
Customer Service Rep,0.819,0.189,0.743,2,31568,0.797,6,1,2
Nurse,0.282,0.476,0.855,3,81264,0.306,5,4,0
Teacher,0.279,0.607,0.913,4,54254,0.19,10,6,0
Truck Driver,0.824,0.038,0.179,1,48565,0.886,10,3,2
Graphic Designer,0.434,0.96,0.573,4,56342,0.664,1,7,1
Software Engineer,0.268,0.763,0.598,3,117873,0.612,6,5,1
Nurse,0.3,0.533,0.794,3,86072,0.097,7,4,0
Radiologist,0.493,0.634,0.621,4,316735,0.734,12,4,1
HR Manager,0.436,0.43,0.835,4,72599,0.477,3,9,1
Cook / Chef,0.602,0.627,0.403,1,33096,0.414,11,11,1
Security Guard,0.798,0.086,0.306,1,28936,0.753,8,12,2
Truck Driver,0.633,0.178,0.279,1,59137,0.786,0,3,2
Cook / Chef,0.452,0.687,0.476,1,36066,0.424,8,11,1
Teacher,0.242,0.8,0.921,3,56359,0.194,1,6,0
Marketing Manager,0.27,0.867,0.755,4,96944,0.506,11,7,0
Graphic Designer,0.374,0.966,0.435,2,45181,0.557,12,7,1
Telemarketer,0.87,0.133,0.349,1,31433,0.907,6,1,2
Social Worker,0.214,0.454,0.983,4,47929,0.074,17,8,0
Nurse,0.332,0.404,0.923,2,84973,0.216,4,4,0
HR Manager,0.551,0.506,0.79,3,84571,0.463,6,9,1
Accountant,0.665,0.427,0.363,2,53318,0.745,10,2,2
Security Guard,0.767,0.152,0.438,1,33818,0.649,3,12,2
Security Guard,0.65,0.149,0.442,1,33104,0.706,6,12,2
Lawyer,0.4,0.801,0.804,4,134374,0.472,9,10,0
Nurse,0.468,0.412,0.937,3,75142,0.33,6,4,1
Research Scientist,0.219,1.0,0.609,4,126849,0.486,9,5,0
Social Worker,0.25,0.522,0.963,4,59617,0.102,12,8,0
Lawyer,0.345,0.812,0.72,4,117475,0.586,9,10,0
Software Engineer,0.32,0.765,0.521,3,152677,0.63,10,5,1
Truck Driver,0.653,0.141,0.148,1,48837,0.826,5,3,2
Lawyer,0.381,0.789,0.833,4,130426,0.551,4,10,0
Nurse,0.355,0.512,0.924,2,73026,0.244,16,4,0
Lawyer,0.316,0.858,0.773,5,131134,0.498,12,10,0
Data Entry Clerk,0.885,0.103,0.14,1,31492,1.0,9,0,2
Social Worker,0.159,0.475,0.972,3,49940,0.14,16,8,0
Lawyer,0.302,0.757,0.745,4,139583,0.481,0,10,0
Financial Analyst,0.557,0.572,0.452,4,104757,0.74,7,2,1
Radiologist,0.591,0.539,0.497,5,342695,0.714,11,4,1
Marketing Manager,0.32,0.821,0.782,3,91737,0.48,11,7,0
Pharmacist,0.536,0.484,0.708,3,114954,0.605,14,4,1
HR Manager,0.448,0.496,0.834,3,68449,0.455,14,9,1
Marketing Manager,0.323,0.773,0.855,4,87256,0.479,7,7,0
Radiologist,0.472,0.601,0.563,4,353164,0.694,6,4,1
